Repository,Path,Type,Branch,LastCommit,HasRemote,Status,HasPnpm,HasNvmrc,HasDockerfile,HasReadme,GitStatus,Notes
BoyFanz-3,./BoyFanz-3,platform-cluster,main,4420827 feat: Fix Advanced Analytics Engine test configuration and create focused test suite,yes,needs-commit,yes,yes,no,yes,dirty,
CreatorCRM,./CreatorCRM,specialized-service,unknown,unknown,no,not-initialized,no,no,no,no,not-git,NOT-GIT-REPO
Fanz,./Fanz,utility,unknown,unknown,no,not-initialized,no,no,no,no,not-git,NOT-GIT-REPO
FANZ_ARCHIVED,./FANZ_ARCHIVED,utility,unknown,unknown,no,not-initialized,no,no,no,no,not-git,NOT-GIT-REPO
FANZ_FRESH,./FANZ_FRESH,utility,unknown,unknown,no,not-initialized,no,no,no,no,not-git,NOT-GIT-REPO
FANZ_UNIFIED_ECOSYSTEM,./FANZ_UNIFIED_ECOSYSTEM,unified-ecosystem,unknown,unknown,no,not-initialized,no,no,no,no,not-git,NOT-GIT-REPO
FANZ_UNIFIED_ECOSYSTEM_BACKUP,./FANZ_UNIFIED_ECOSYSTEM_BACKUP,unified-ecosystem,unknown,unknown,no,not-initialized,no,no,no,no,not-git,NOT-GIT-REPO
FANZ-AI-Ecosystem,./FANZ-AI-Ecosystem,unified-ecosystem,unknown,unknown,no,not-initialized,no,no,no,no,not-git,NOT-GIT-REPO
FANZ-Enterprise-Architecture,./FANZ-Enterprise-Architecture,utility,unknown,unknown,no,not-initialized,no,no,no,no,not-git,NOT-GIT-REPO
FANZ-Unified-Ecosystem,./FANZ-Unified-Ecosystem,unified-ecosystem,unknown,unknown,no,not-initialized,no,no,no,no,not-git,NOT-GIT-REPO
Fanz.GO.OS.05,./Fanz.GO.OS.05,utility,unknown,unknown,no,not-initialized,no,no,no,no,not-git,NOT-GIT-REPO
Fanz.OS.GO.02,./Fanz.OS.GO.02,utility,unknown,unknown,no,not-initialized,no,no,no,no,not-git,NOT-GIT-REPO
